usdid,fwdir,latitude,longitude,abs_pm
85,101N,36.966658999999986,-121.552393,352.80239271905293
86,101N,36.96705,-121.55251,352.830169585473
87,101N,36.96770999999999,-121.55269000000001,352.87684124647
88,101N,36.96830899999999,-121.552878,352.91950955061156
89,101N,36.968569999999985,-121.55296,352.9381023641942
90,101N,36.968859999999985,-121.55304000000001,352.9586203359498
91,101N,36.970276999999996,-121.553455,353.059170121174
92,101N,36.97077,-121.5536,353.0941609297664
93,101N,36.971849999999996,-121.55392,353.1708439965632
94,101N,36.97310999999999,-121.55429000000001,353.2602652956797
95,101N,36.974039999999995,-121.5546,353.32676154412474
96,101N,36.974508,-121.55476900000001,353.3604159558224
97,101N,36.974759999999996,-121.55486,353.37853755553414
98,101N,36.975449999999995,-121.55512000000002,353.42832526589183
99,101N,36.97588499999999,-121.555304,353.4600505254924
100,101N,36.97610499999999,-121.555397,353.4760944620125
101,101N,36.976115,-121.555401,353.47681981527074
102,101N,36.97616,-121.55542,353.48010112775984
103,101N,36.97618299999999,-121.555429,353.4817661130041
104,101N,36.976268999999995,-121.555463,353.48799746497747
105,101N,36.97646499999999,-121.55554000000001,353.50219105305484
106,101N,36.97686999999999,-121.5557,353.5315344255798
107,101N,36.977969,-121.556222,353.6127506700593
108,101N,36.9786,-121.556521,353.65936768522147
109,101N,36.97903999999999,-121.55673,353.69188386374077
110,101N,36.980503999999996,-121.55739400000002,353.79947122872454
111,101N,36.98055999999999,-121.55742,353.8035980071487
112,101N,36.981145999999995,-121.557672,353.8464091382079
113,101N,36.98134999999999,-121.55776000000002,353.86131756662957
114,101N,36.98140999999999,-121.55778400000001,353.8656696582488
115,101N,36.982210999999985,-121.55810600000001,353.92379699061985
116,101N,36.98221999999999,-121.55811,353.9244568585342
117,101N,36.982479999999995,-121.55821,353.9432498804259
118,101N,36.982479999999995,-121.55821,353.9432498804259
119,101N,36.982631999999995,-121.558262,353.9541371672226
120,101N,36.982769999999995,-121.55831,353.96403325207484
121,101N,36.983098999999996,-121.558383,353.9871192601802
122,101N,36.983257,-121.558418,353.9982056007732
123,101N,36.98353999999999,-121.55848,354.0180561796025
124,101N,36.983858999999995,-121.558518,354.04019651030916
125,101N,36.98404,-121.55854000000001,354.0527612095852
126,101N,36.98454999999999,-121.55856,354.08801608976074
127,101N,36.98516999999999,-121.55853,354.1308859370961
128,101N,36.985679999999995,-121.55847,354.16627878770146
129,101N,36.985689,-121.558468,354.16691034844087
130,101N,36.98628999999999,-121.55835,354.2089430187638
131,101N,36.986381,-121.558332,354.2153085082064
132,101N,36.98665799999999,-121.558278,354.23467801031194
133,101N,36.98675,-121.55826,354.24111175476395
134,101N,36.98693,-121.55822,354.2537429636813
135,101N,36.987163999999986,-121.55817300000001,354.2701175598641
136,101N,36.98763999999999,-121.55808,354.30340407616313
137,101N,36.98841199999999,-121.557938,354.3573167529661
138,101N,36.988569999999996,-121.55791,354.36834232462394
139,101N,36.988827,-121.557854,354.38636625473595
